Name,Relative lattice energy (kJ/mol),No. of hydrogen bonds, No. of hydrogen bonds per hydrogen-bond site,No. of parallel pi-pi stacking modes,Density (g/cm^3),Largest included sphere (Ang),Largest free sphere (Ang),Largest included sphere along free sphere path (Ang),Accessible surface area (m^2/g),Accessible pore volume (cm^3/g),Pore dimensionality,AffinityPropagation
100020030027023,76.936,4,0.3333333333333333,3,1.2123,5.11514,2.98987,4.06865,0.0,0.0,0,133
100020030617646,97.3726,4,0.3333333333333333,0,1.0183,5.05173,2.98725,5.0434,0.0,0.0,0,99
10002003014131,89.7485,4,0.3333333333333333,0,1.1363,4.16816,2.98306,4.15865,0.0,0.0,0,106
100020030146605,78.4102,4,0.3333333333333333,1,1.1569,4.1137,2.98304,4.08308,0.0,0.0,0,113
100020030151441,91.80699999999999,4,0.3333333333333333,0,1.0443,5.1635,2.98302,5.12169,0.0,0.0,0,91
100020030152303,72.7926,4,0.3333333333333333,3,1.185,4.25402,2.98241,4.11198,0.0,0.0,0,133
1000200314831568,53.63730000000001,4,0.3333333333333333,8,1.2743,4.22535,2.9823,3.5889,0.0,0.0,0,114
100020030291872,98.303,4,0.3333333333333333,2,1.081,4.38466,2.98132,4.37829,0.0,0.0,0,106
100020030566983,94.554,4,0.3333333333333333,0,1.1852,4.27053,2.98063,4.27053,0.0,0.0,0,108
1000200308810661,49.3835,4,0.3333333333333333,2,1.2918,3.81402,2.97662,3.80947,0.0,0.0,0,114
100020030609380,91.1405,4,0.3333333333333333,0,1.1584,4.37182,2.97495,4.37165,0.0,0.0,0,134
1000200308820685,91.59440000000001,4,0.3333333333333333,0,1.0535,5.96052,2.97443,5.27083,0.0,0.0,0,101
100020030883261,86.8187,4,0.3333333333333333,0,0.9611,6.28357,2.97196,6.28085,0.0,0.0,0,92
100020030881869,77.7321,4,0.3333333333333333,0,1.098,5.65634,2.97163,5.65634,0.0,0.0,0,105
100020030436755,88.89869999999999,4,0.3333333333333333,1,1.2073,4.01412,2.97101,3.96564,0.0,0.0,0,128
10002003014653,68.1111,4,0.3333333333333333,6,1.1841,3.97468,2.96658,3.97468,0.0,0.0,0,131
100020031482902,93.40960000000001,4,0.3333333333333333,0,1.0478,9.04186,2.96608,9.04186,0.0,0.0,0,99
100020030613233,65.03020000000001,4,0.3333333333333333,3,1.2917,3.80045,2.96574,3.78854,0.0,0.0,0,125
1000200301513208,86.49529999999999,4,0.3333333333333333,2,0.9622,6.99361,2.96448,6.84508,0.0,0.0,0,104
100020030615050,71.0746,4,0.3333333333333333,0,1.2948,3.53296,2.96249,3.52812,0.0,0.0,0,146
1000200301311609,95.0652,4,0.3333333333333333,1,1.1356,4.63615,2.96166,4.62769,0.0,0.0,0,124
1000200301511853,71.48329999999999,4,0.3333333333333333,0,1.1702,4.4717,2.96064,4.4717,0.0,0.0,0,108
100020030156984,58.07560000000001,4,0.3333333333333333,3,1.3024,4.0272,2.96061,3.86483,0.0,0.0,0,114
1000200308821411,91.9333,4,0.3333333333333333,0,1.0296,6.00116,2.95989,5.9989,0.0,0.0,0,117
100020030141062,72.19999999999999,4,0.3333333333333333,0,1.2081,3.68544,2.95701,3.65245,0.0,0.0,0,115
